"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Side","Deck","CabinNumbers"
0,3,"male",47,0,0,7.25,"S",NA,NA,NA
0,3,"female",NA,0,2,7.75,"Q",NA,NA,NA
0,2,"male",37,1,0,26,"S",NA,NA,NA
0,3,"male",36,1,1,24.15,"S",NA,NA,NA
1,2,"female",NA,0,0,33,"S",NA,NA,NA
0,3,"male",49,0,0,0,"S",NA,NA,NA
0,3,"male",NA,0,0,7.225,"C",NA,NA,NA
1,1,"male",49,1,0,56.9292,"C","Backbord","A","20"
1,2,"female",24,2,1,27,"S",NA,NA,NA
0,3,"male",NA,0,0,7.8958,"S",NA,NA,NA
0,1,"male",NA,0,0,42.4,"S",NA,NA,NA
0,3,"male",44,0,0,8.05,"S",NA,NA,NA
1,1,"male",35,0,0,26.55,"C",NA,NA,NA
0,3,"male",36,1,0,15.55,"S",NA,NA,NA
0,3,"male",30,0,0,7.8958,"S",NA,NA,NA
1,1,"male",27,0,0,30.5,"S",NA,NA,NA
1,2,"female",22,1,2,41.5792,"C",NA,NA,NA
1,1,"female",40,0,0,153.4625,"S","Steuerbord","C","125"
0,3,"female",39,1,5,31.275,"S",NA,NA,NA
0,3,"male",NA,0,0,7.05,"S",NA,NA,NA
1,3,"female",NA,1,0,15.5,"Q",NA,NA,NA
0,3,"male",NA,0,0,7.75,"Q",NA,NA,NA
0,3,"male",35,0,0,8.05,"S",NA,NA,NA
1,2,"female",24,1,2,65,"S",NA,NA,NA
0,3,"male",34,1,1,14.4,"S",NA,NA,NA
0,3,"female",26,1,0,16.1,"S",NA,NA,NA
1,2,"female",4,2,1,39,"S","Backbord","F","4"
0,2,"male",26,0,0,10.5,"S",NA,NA,NA
0,3,"male",27,1,0,14.4542,"C",NA,NA,NA
1,1,"male",42,1,0,52.5542,"S","Steuerbord","D","19"
1,3,"male",20,1,1,15.7417,"C",NA,NA,NA
0,3,"male",21,0,0,7.8542,"S",NA,NA,NA
0,3,"male",21,0,0,16.1,"S",NA,NA,NA
0,1,"male",61,0,0,32.3208,"S","Backbord","D","50"
0,2,"male",57,0,0,12.35,"Q",NA,NA,NA
1,1,"female",21,0,0,77.9583,"S","Steuerbord","D","9"
0,3,"male",26,0,0,7.8958,"S",NA,NA,NA
0,3,"male",NA,0,0,7.7333,"Q",NA,NA,NA
1,1,"male",80,0,0,30,"S","Steuerbord","A","23"
0,3,"male",51,0,0,7.0542,"S",NA,NA,NA
1,1,"male",32,0,0,30.5,"C","Backbord","B","50"
0,1,"male",NA,0,0,0,"S",NA,NA,NA
0,3,"female",9,3,2,27.9,"S",NA,NA,NA
1,2,"female",28,0,0,13,"S",NA,NA,NA
0,3,"male",32,0,0,7.925,"S",NA,NA,NA
0,2,"male",31,1,1,26.25,"S",NA,NA,NA
0,3,"female",41,0,5,39.6875,"S",NA,NA,NA
0,3,"male",NA,1,0,16.1,"S",NA,NA,NA
0,3,"male",20,0,0,7.8542,"S",NA,NA,NA
1,1,"female",24,0,0,69.3,"C","Steuerbord","B","35"
0,3,"female",2,3,2,27.9,"S",NA,NA,NA
1,3,"male",NA,0,0,56.4958,"S",NA,NA,NA
1,3,"female",0.75,2,1,19.2583,"C",NA,NA,NA
1,1,"male",48,1,0,76.7292,"C","Steuerbord","D","33"
0,3,"male",19,0,0,7.8958,"S",NA,NA,NA
1,1,"male",56,0,0,35.5,"C","Backbord","A","26"
0,3,"male",NA,0,0,7.55,"S",NA,NA,NA
1,3,"female",23,0,0,7.55,"S",NA,NA,NA
0,3,"male",NA,0,0,7.8958,"S",NA,NA,NA
1,2,"female",18,0,1,23,"S",NA,NA,NA
0,3,"male",21,0,0,8.4333,"S",NA,NA,NA
1,3,"female",NA,0,0,7.8292,"Q",NA,NA,NA
0,3,"female",18,0,0,6.75,"Q",NA,NA,NA
0,2,"male",24,2,0,73.5,"S",NA,NA,NA
0,3,"male",NA,0,0,7.8958,"S",NA,NA,NA
0,3,"female",32,1,1,15.5,"Q",NA,NA,NA
0,2,"male",23,0,0,13,"S",NA,NA,NA
0,1,"male",58,0,2,113.275,"C","Backbord","D","48"
1,1,"male",50,2,0,133.65,"S",NA,NA,NA
0,3,"male",40,0,0,7.225,"C",NA,NA,NA
0,1,"male",47,0,0,25.5875,"S","Backbord","E","58"
0,3,"male",36,0,0,7.4958,"S",NA,NA,NA
1,3,"male",20,1,0,7.925,"S",NA,NA,NA
0,2,"male",32,2,0,73.5,"S",NA,NA,NA
0,2,"male",25,0,0,13,"S",NA,NA,NA
0,3,"male",NA,0,0,7.775,"S",NA,NA,NA
0,3,"male",43,0,0,8.05,"S",NA,NA,NA
1,1,"female",NA,1,0,52,"S","Backbord","C","126"
1,2,"female",40,1,1,39,"S",NA,NA,NA
0,1,"male",31,1,0,52,"S","Steuerbord","B","71"
0,2,"male",70,0,0,10.5,"S",NA,NA,NA
1,2,"male",31,0,0,13,"S",NA,NA,NA
0,2,"male",NA,0,0,0,"S",NA,NA,NA
0,3,"male",18,0,0,7.775,"S",NA,NA,NA
0,3,"male",24.5,0,0,8.05,"S",NA,NA,NA
1,3,"female",18,0,0,9.8417,"S",NA,NA,NA
0,3,"female",43,1,6,46.9,"S",NA,NA,NA
1,1,"male",36,0,1,512.3292,"C","Steuerbord","B","51, 53, 55"
0,3,"female",NA,0,0,8.1375,"Q",NA,NA,NA
1,1,"male",27,0,0,76.7292,"C","Steuerbord","D","49"
0,3,"male",20,0,0,9.225,"S",NA,NA,NA
0,3,"male",14,5,2,46.9,"S",NA,NA,NA
0,2,"male",60,1,1,39,"S",NA,NA,NA
0,2,"male",25,1,2,41.5792,"C",NA,NA,NA
0,3,"male",14,4,1,39.6875,"S",NA,NA,NA
0,3,"male",19,0,0,10.1708,"S",NA,NA,NA
0,3,"male",18,0,0,7.7958,"S",NA,NA,NA
1,1,"female",15,0,1,211.3375,"S","Steuerbord","B","5"
1,1,"male",31,1,0,57,"S","Backbord","B","20"
1,3,"female",4,0,1,13.4167,"C",NA,NA,NA
1,3,"male",NA,0,0,56.4958,"S",NA,NA,NA
0,3,"male",25,0,0,7.225,"C",NA,NA,NA
0,1,"male",60,0,0,26.55,"S",NA,NA,NA
0,2,"male",52,0,0,13.5,"S",NA,NA,NA
0,3,"male",44,0,0,8.05,"S",NA,NA,NA
1,3,"female",NA,0,0,7.7333,"Q",NA,NA,NA
0,1,"male",49,1,1,110.8833,"C","Backbord","C","68"
0,3,"male",42,0,0,7.65,"S","Steuerbord","G","63"
1,1,"female",18,1,0,227.525,"C","Backbord","C","62, 64"
1,1,"male",35,0,0,26.2875,"S","Backbord","E","24"
0,3,"female",18,0,1,14.4542,"C",NA,NA,NA
0,3,"male",25,0,0,7.7417,"Q",NA,NA,NA
0,3,"male",26,1,0,7.8542,"S",NA,NA,NA
0,2,"male",39,0,0,26,"S",NA,NA,NA
1,2,"female",45,0,0,13.5,"S",NA,NA,NA
1,1,"male",42,0,0,26.2875,"S","Backbord","E","24"
1,1,"female",22,0,0,151.55,"S",NA,NA,NA
1,3,"male",NA,1,1,15.2458,"C",NA,NA,NA
1,1,"female",24,0,0,49.5042,"C","Backbord","C","90"
0,1,"male",NA,0,0,26.55,"S","Backbord","C","124"
1,1,"male",48,1,0,52,"S","Backbord","C","126"
0,3,"male",29,0,0,9.4833,"S",NA,NA,NA
0,2,"male",52,0,0,13,"S",NA,NA,NA
0,3,"male",19,0,0,7.65,"S","Steuerbord","G","73"
1,1,"female",38,0,0,227.525,"C","Steuerbord","C","45"
1,2,"female",27,0,0,10.5,"S","Steuerbord","E","101"
0,3,"male",NA,0,0,15.5,"Q",NA,NA,NA
0,3,"male",33,0,0,7.775,"S",NA,NA,NA
1,2,"female",6,0,1,33,"S",NA,NA,NA
0,3,"male",17,1,0,7.0542,"S",NA,NA,NA
0,2,"male",34,0,0,13,"S",NA,NA,NA
0,2,"male",50,0,0,13,"S",NA,NA,NA
1,1,"male",27,1,0,53.1,"S","Backbord","E","8"
0,3,"male",20,0,0,8.6625,"S",NA,NA,NA
1,2,"female",30,3,0,21,"S",NA,NA,NA
1,3,"female",NA,0,0,7.7375,"Q",NA,NA,NA
0,2,"male",25,1,0,26,"S",NA,NA,NA
0,3,"female",25,1,0,7.925,"S",NA,NA,NA
1,1,"female",29,0,0,211.3375,"S","Steuerbord","B","5"
0,3,"male",11,0,0,18.7875,"C",NA,NA,NA
0,2,"male",NA,0,0,0,"S",NA,NA,NA
0,2,"male",23,0,0,13,"S",NA,NA,NA
0,2,"male",23,0,0,13,"S",NA,NA,NA
0,3,"male",28.5,0,0,16.1,"S",NA,NA,NA
0,3,"female",48,1,3,34.375,"S",NA,NA,NA
1,1,"male",35,0,0,512.3292,"C","Steuerbord","B","101"
0,3,"male",NA,0,0,7.8958,"S",NA,NA,NA
0,3,"male",NA,0,0,7.8958,"S",NA,NA,NA
1,1,"male",NA,0,0,30,"S","Steuerbord","D","45"
0,1,"male",36,1,0,78.85,"S","Backbord","C","46"
1,1,"female",21,2,2,262.375,"C","Steuerbord, Backbord","B","57, 59, 63, 66"
0,3,"male",24,1,0,16.1,"S",NA,NA,NA
1,3,"male",31,0,0,7.925,"S",NA,NA,NA
0,1,"male",70,1,1,71,"S","Backbord","B","22"
0,3,"male",16,1,1,20.25,"S",NA,NA,NA
1,2,"female",30,0,0,13,"S",NA,NA,NA
0,1,"male",19,1,0,53.1,"S","Backbord","D","30"
0,3,"male",31,0,0,7.75,"Q",NA,NA,NA
1,2,"female",4,1,1,23,"S",NA,NA,NA
1,3,"male",6,0,1,12.475,"S","Steuerbord","E","121"
0,3,"male",33,0,0,9.5,"S",NA,NA,NA
0,3,"male",23,0,0,7.8958,"S",NA,NA,NA
1,2,"female",48,1,2,65,"S",NA,NA,NA
1,2,"male",0.67,1,1,14.5,"S",NA,NA,NA
0,3,"male",28,0,0,7.7958,"S",NA,NA,NA
0,2,"male",18,0,0,11.5,"S",NA,NA,NA
0,3,"male",34,0,0,8.05,"S",NA,NA,NA
1,1,"female",33,0,0,86.5,"S","Steuerbord","B","77"
0,3,"male",NA,0,0,14.5,"S",NA,NA,NA
0,3,"male",41,0,0,7.125,"S",NA,NA,NA
1,3,"male",20,0,0,7.2292,"C",NA,NA,NA
1,1,"female",36,1,2,120,"S","Backbord","B","96, 98"
0,3,"male",16,0,0,7.775,"S",NA,NA,NA
1,1,"female",51,1,0,77.9583,"S","Steuerbord","D","11"
0,1,"male",NA,0,0,39.6,"C",NA,NA,NA
0,3,"female",30.5,0,0,7.75,"Q",NA,NA,NA
0,3,"male",NA,1,0,24.15,"Q",NA,NA,NA
0,3,"male",32,0,0,8.3625,"S",NA,NA,NA
0,3,"male",24,0,0,9.5,"S",NA,NA,NA
0,3,"male",48,0,0,7.8542,"S",NA,NA,NA
0,2,"female",57,0,0,10.5,"S","Steuerbord","E","77"
0,3,"male",NA,0,0,7.225,"C",NA,NA,NA
1,2,"female",54,1,3,23,"S",NA,NA,NA
0,3,"male",18,0,0,7.75,"S",NA,NA,NA
0,3,"male",NA,0,0,7.75,"Q","Backbord","F","38"
1,3,"female",5,0,0,12.475,"S",NA,NA,NA
0,3,"male",NA,0,0,7.7375,"Q",NA,NA,NA
1,1,"female",43,0,1,211.3375,"S","Steuerbord","B","3"
1,3,"female",13,0,0,7.2292,"C",NA,NA,NA
1,1,"female",17,1,0,57,"S","Backbord","B","20"
0,1,"male",29,0,0,30,"S","Backbord","D","6"
0,3,"male",NA,1,2,23.45,"S",NA,NA,NA
0,3,"male",25,0,0,7.05,"S",NA,NA,NA
0,3,"male",25,0,0,7.25,"S",NA,NA,NA
1,3,"female",18,0,0,7.4958,"S",NA,NA,NA
0,3,"male",8,4,1,29.125,"Q",NA,NA,NA
1,3,"male",1,1,2,20.575,"S",NA,NA,NA
0,1,"male",46,0,0,79.2,"C","Backbord","B","82, 84"
0,3,"male",NA,0,0,7.75,"Q",NA,NA,NA
0,2,"male",16,0,0,26,"S",NA,NA,NA
0,3,"female",NA,8,2,69.55,"S",NA,NA,NA
0,1,"male",NA,0,0,30.6958,"C",NA,NA,NA
0,3,"male",25,0,0,7.8958,"S",NA,NA,NA
0,2,"male",39,0,0,13,"S",NA,NA,NA
1,1,"female",49,0,0,25.9292,"S","Steuerbord","D","17"
1,3,"female",31,0,0,8.6833,"S",NA,NA,NA
0,3,"male",30,0,0,7.2292,"C",NA,NA,NA
0,3,"female",30,1,1,24.15,"S",NA,NA,NA
0,2,"male",34,0,0,13,"S",NA,NA,NA
1,2,"female",31,1,1,26.25,"S",NA,NA,NA
1,1,"male",11,1,2,120,"S","Backbord","B","96, 98"
1,3,"male",0.42,0,1,8.5167,"C",NA,NA,NA
1,3,"male",27,0,0,6.975,"S",NA,NA,NA
0,3,"male",31,0,0,7.775,"S",NA,NA,NA
0,1,"male",39,0,0,0,"S","Backbord","A","36"
0,3,"female",18,0,0,7.775,"S",NA,NA,NA
0,2,"male",39,0,0,13,"S",NA,NA,NA
1,1,"female",33,1,0,53.1,"S","Backbord","E","8"
0,3,"male",26,0,0,7.8875,"S",NA,NA,NA
0,3,"male",39,0,0,24.15,"S",NA,NA,NA
0,2,"male",35,0,0,10.5,"S",NA,NA,NA
0,3,"female",6,4,2,31.275,"S",NA,NA,NA
0,3,"male",30.5,0,0,8.05,"S",NA,NA,NA
0,1,"male",NA,0,0,0,"S","Backbord","B","102"
0,3,"female",23,0,0,7.925,"S",NA,NA,NA
0,2,"male",31,1,1,37.0042,"C",NA,NA,NA
0,3,"male",43,0,0,6.45,"S",NA,NA,NA
0,3,"male",10,3,2,27.9,"S",NA,NA,NA
1,1,"female",52,1,1,93.5,"S","Steuerbord","B","69"
1,3,"male",27,0,0,8.6625,"S",NA,NA,NA
0,1,"male",38,0,0,0,"S",NA,NA,NA
1,3,"female",27,0,1,12.475,"S","Steuerbord","E","121"
0,3,"male",2,4,1,39.6875,"S",NA,NA,NA
0,3,"male",NA,0,0,6.95,"Q",NA,NA,NA
0,3,"male",NA,0,0,56.4958,"S",NA,NA,NA
1,2,"male",1,0,2,37.0042,"C",NA,NA,NA
1,3,"male",NA,0,0,7.75,"Q",NA,NA,NA
1,1,"female",62,0,0,80,"","Backbord","B","28"
1,3,"female",15,1,0,14.4542,"C",NA,NA,NA
1,2,"male",0.83,1,1,18.75,"S",NA,NA,NA
0,3,"male",NA,0,0,7.2292,"C",NA,NA,NA
0,3,"male",23,0,0,7.8542,"S",NA,NA,NA
0,3,"male",18,0,0,8.3,"S",NA,NA,NA
1,1,"female",39,1,1,83.1583,"C","Steuerbord","E","49"
0,3,"male",21,0,0,8.6625,"S",NA,NA,NA
0,3,"male",NA,0,0,8.05,"S",NA,NA,NA
1,3,"male",32,0,0,56.4958,"S",NA,NA,NA
1,1,"male",NA,0,0,29.7,"C","Steuerbord","C","47"
0,3,"male",20,0,0,7.925,"S",NA,NA,NA
0,2,"male",16,0,0,10.5,"S",NA,NA,NA
1,1,"female",30,0,0,31,"C",NA,NA,NA
0,3,"male",34.5,0,0,6.4375,"C",NA,NA,NA
0,3,"male",17,0,0,8.6625,"S",NA,NA,NA
0,3,"male",42,0,0,7.55,"S",NA,NA,NA
0,3,"male",NA,8,2,69.55,"S",NA,NA,NA
0,3,"male",35,0,0,7.8958,"C",NA,NA,NA
0,2,"male",28,0,1,33,"S",NA,NA,NA
1,1,"female",NA,1,0,89.1042,"C","Backbord","C","92"
0,3,"male",4,4,2,31.275,"S",NA,NA,NA
0,3,"male",74,0,0,7.775,"S",NA,NA,NA
0,3,"female",9,1,1,15.2458,"C",NA,NA,NA
1,1,"female",16,0,1,39.4,"S","Backbord","D","28"
0,2,"female",44,1,0,26,"S",NA,NA,NA
1,3,"female",18,0,1,9.35,"S",NA,NA,NA
1,1,"female",45,1,1,164.8667,"S",NA,NA,NA
1,1,"male",51,0,0,26.55,"S","Steuerbord","E","17"
1,3,"female",24,0,3,19.2583,"C",NA,NA,NA
0,3,"male",NA,0,0,7.2292,"C",NA,NA,NA
0,3,"male",41,2,0,14.1083,"S",NA,NA,NA
0,2,"male",21,1,0,11.5,"S",NA,NA,NA
1,1,"female",48,0,0,25.9292,"S","Steuerbord","D","17"
0,3,"female",NA,8,2,69.55,"S",NA,NA,NA
0,2,"male",24,0,0,13,"S",NA,NA,NA
1,2,"female",42,0,0,13,"S",NA,NA,NA
1,2,"female",27,1,0,13.8583,"C",NA,NA,NA
0,1,"male",31,0,0,50.4958,"S","Backbord","A","24"
0,3,"male",NA,0,0,9.5,"S",NA,NA,NA
1,3,"male",4,1,1,11.1333,"S",NA,NA,NA
0,3,"male",26,0,0,7.8958,"S",NA,NA,NA
1,1,"female",47,1,1,52.5542,"S","Steuerbord","D","35"
0,1,"male",33,0,0,5,"S","Steuerbord","B","51, 53, 55"
0,3,"male",47,0,0,9,"S",NA,NA,NA
1,2,"female",28,1,0,24,"C",NA,NA,NA
1,3,"female",15,0,0,7.225,"C",NA,NA,NA
0,3,"male",20,0,0,9.8458,"S",NA,NA,NA
0,3,"male",19,0,0,7.8958,"S",NA,NA,NA
0,3,"male",NA,0,0,7.8958,"S",NA,NA,NA
1,1,"female",56,0,1,83.1583,"C","Backbord","C","50"
1,2,"female",25,0,1,26,"S",NA,NA,NA
0,3,"male",33,0,0,7.8958,"S",NA,NA,NA
0,3,"female",22,0,0,10.5167,"S",NA,NA,NA
0,2,"male",28,0,0,10.5,"S",NA,NA,NA
0,3,"male",25,0,0,7.05,"S",NA,NA,NA
0,3,"female",39,0,5,29.125,"Q",NA,NA,NA
0,2,"male",27,0,0,13,"S",NA,NA,NA
1,1,"female",19,0,0,30,"S","Backbord","B","42"
0,3,"female",NA,1,2,23.45,"S",NA,NA,NA
1,1,"male",26,0,0,30,"C","Backbord","C","148"
0,3,"male",32,0,0,7.75,"Q",NA,NA,NA
