"";"Survived";"Pclass";"Sex";"Age";"SibSp";"Parch";"Fare";"Embarked";"Title";"Side";"Deck";"CabinNumbers"
"1";"no";"3";"male";22;1;0;7,25;"Southampton";"Mr";NA;NA;NA
"2";"yes";"1";"female";38;1;0;71,2833;"Cherbourg";"Mrs";"Steuerbord";"C";"85"
"3";"yes";"3";"female";26;0;0;7,925;"Southampton";"Ms";NA;NA;NA
"4";"yes";"1";"female";35;1;0;53,1;"Southampton";"Mrs";"Steuerbord";"C";"123"
"5";"no";"3";"male";35;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"6";"no";"3";"male";30;0;0;8,4583;"Queenstown";"Mr";NA;NA;NA
"7";"no";"1";"male";54;0;0;51,8625;"Southampton";"Mr";"Backbord";"E";"46"
"8";"no";"3";"male";2;3;1;21,075;"Southampton";"Master";NA;NA;NA
"9";"yes";"3";"female";27;0;2;11,1333;"Southampton";"Mrs";NA;NA;NA
"10";"yes";"2";"female";14;1;0;30,0708;"Cherbourg";"Mrs";NA;NA;NA
"11";"yes";"3";"female";4;1;1;16,7;"Southampton";"Ms";"Backbord";"G";"6"
"12";"yes";"1";"female";58;0;0;26,55;"Southampton";"Ms";"Steuerbord";"C";"103"
"13";"no";"3";"male";20;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"14";"no";"3";"male";39;1;5;31,275;"Southampton";"Mr";NA;NA;NA
"15";"no";"3";"female";14;0;0;7,8542;"Southampton";"Ms";NA;NA;NA
"16";"yes";"2";"female";55;0;0;16;"Southampton";"Mrs";NA;NA;NA
"17";"no";"3";"male";2;4;1;29,125;"Queenstown";"Master";NA;NA;NA
"18";"yes";"2";"male";30;0;0;13;"Southampton";"Mr";NA;NA;NA
"19";"no";"3";"female";31;1;0;18;"Southampton";"Mrs";NA;NA;NA
"20";"yes";"3";"female";35;0;0;7,225;"Cherbourg";"Mrs";NA;NA;NA
"21";"no";"2";"male";35;0;0;26;"Southampton";"Mr";NA;NA;NA
"22";"yes";"2";"male";34;0;0;13;"Southampton";"Mr";"Backbord";"D";"56"
"23";"yes";"3";"female";15;0;0;8,0292;"Queenstown";"Ms";NA;NA;NA
"24";"yes";"1";"male";28;0;0;35,5;"Southampton";"Mr";"Backbord";"A";"6"
"25";"no";"3";"female";8;3;1;21,075;"Southampton";"Ms";NA;NA;NA
"26";"yes";"3";"female";38;1;5;31,3875;"Southampton";"Mrs";NA;NA;NA
"27";"no";"3";"male";30;0;0;7,225;"Cherbourg";"Mr";NA;NA;NA
"28";"no";"1";"male";19;3;2;263;"Southampton";"Mr";"Steuerbord";"C";"23, 25, 27"
"29";"yes";"3";"female";22;0;0;7,8792;"Queenstown";"Ms";NA;NA;NA
"30";"no";"3";"male";30;0;0;7,8958;"Southampton";"Mr";NA;NA;NA
"31";"no";"1";"male";40;0;0;27,7208;"Cherbourg";"Mr";NA;NA;NA
"32";"yes";"1";"female";35;1;0;146,5208;"Cherbourg";"Mrs";"Backbord";"B";"78"
"33";"yes";"3";"female";22;0;0;7,75;"Queenstown";"Ms";NA;NA;NA
"34";"no";"2";"male";66;0;0;10,5;"Southampton";"Mr";NA;NA;NA
"35";"no";"1";"male";28;1;0;82,1708;"Cherbourg";"Mr";NA;NA;NA
"36";"no";"1";"male";42;1;0;52;"Southampton";"Mr";NA;NA;NA
"37";"yes";"3";"male";30;0;0;7,2292;"Cherbourg";"Mr";NA;NA;NA
"38";"no";"3";"male";21;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"39";"no";"3";"female";18;2;0;18;"Southampton";"Ms";NA;NA;NA
"40";"yes";"3";"female";14;1;0;11,2417;"Cherbourg";"Ms";NA;NA;NA
"41";"no";"3";"female";40;1;0;9,475;"Southampton";"Mrs";NA;NA;NA
"42";"no";"2";"female";27;1;0;21;"Southampton";"Mrs";NA;NA;NA
"43";"no";"3";"male";30;0;0;7,8958;"Cherbourg";"Mr";NA;NA;NA
"44";"yes";"2";"female";3;1;2;41,5792;"Cherbourg";"Ms";NA;NA;NA
"45";"yes";"3";"female";19;0;0;7,8792;"Queenstown";"Ms";NA;NA;NA
"46";"no";"3";"male";30;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"47";"no";"3";"male";30;1;0;15,5;"Queenstown";"Mr";NA;NA;NA
"48";"yes";"3";"female";22;0;0;7,75;"Queenstown";"Ms";NA;NA;NA
"49";"no";"3";"male";30;2;0;21,6792;"Cherbourg";"Mr";NA;NA;NA
"50";"no";"3";"female";18;1;0;17,8;"Southampton";"Mrs";NA;NA;NA
"51";"no";"3";"male";7;4;1;39,6875;"Southampton";"Master";NA;NA;NA
"52";"no";"3";"male";21;0;0;7,8;"Southampton";"Mr";NA;NA;NA
"53";"yes";"1";"female";49;1;0;76,7292;"Cherbourg";"Mrs";"Steuerbord";"D";"33"
"54";"yes";"2";"female";29;1;0;26;"Southampton";"Mrs";NA;NA;NA
"55";"no";"1";"male";65;0;1;61,9792;"Cherbourg";"Mr";"Backbord";"B";"30"
"56";"yes";"1";"male";30;0;0;35,5;"Southampton";"Mr";"Backbord";"C";"52"
"57";"yes";"2";"female";21;0;0;10,5;"Southampton";"Ms";NA;NA;NA
"58";"no";"3";"male";28,5;0;0;7,2292;"Cherbourg";"Mr";NA;NA;NA
"59";"yes";"2";"female";5;1;2;27,75;"Southampton";"Ms";NA;NA;NA
"60";"no";"3";"male";11;5;2;46,9;"Southampton";"Master";NA;NA;NA
"61";"no";"3";"male";22;0;0;7,2292;"Cherbourg";"Mr";NA;NA;NA
"62";"yes";"1";"female";38;0;0;80;NA;"Ms";"Backbord";"B";"28"
"63";"no";"1";"male";45;1;0;83,475;"Southampton";"Mr";"Steuerbord";"C";"83"
"64";"no";"3";"male";4;3;2;27,9;"Southampton";"Master";NA;NA;NA
"65";"no";"1";"male";30;0;0;27,7208;"Cherbourg";"Mr";NA;NA;NA
"66";"yes";"3";"male";3,5;1;1;15,2458;"Cherbourg";"Master";NA;NA;NA
"67";"yes";"2";"female";29;0;0;10,5;"Southampton";"Mrs";"Steuerbord";"F";"33"
"68";"no";"3";"male";19;0;0;8,1583;"Southampton";"Mr";NA;NA;NA
"69";"yes";"3";"female";17;4;2;7,925;"Southampton";"Ms";NA;NA;NA
"70";"no";"3";"male";26;2;0;8,6625;"Southampton";"Mr";NA;NA;NA
"71";"no";"2";"male";32;0;0;10,5;"Southampton";"Mr";NA;NA;NA
"72";"no";"3";"female";16;5;2;46,9;"Southampton";"Ms";NA;NA;NA
"73";"no";"2";"male";21;0;0;73,5;"Southampton";"Mr";NA;NA;NA
"74";"no";"3";"male";26;1;0;14,4542;"Cherbourg";"Mr";NA;NA;NA
"75";"yes";"3";"male";32;0;0;56,4958;"Southampton";"Mr";NA;NA;NA
"76";"no";"3";"male";25;0;0;7,65;"Southampton";"Mr";"Steuerbord";"G";"73"
"77";"no";"3";"male";30;0;0;7,8958;"Southampton";"Mr";NA;NA;NA
"78";"no";"3";"male";30;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"79";"yes";"2";"male";0,83;0;2;29;"Southampton";"Master";NA;NA;NA
"80";"yes";"3";"female";30;0;0;12,475;"Southampton";"Ms";NA;NA;NA
"81";"no";"3";"male";22;0;0;9;"Southampton";"Mr";NA;NA;NA
"82";"yes";"3";"male";29;0;0;9,5;"Southampton";"Mr";NA;NA;NA
"83";"yes";"3";"female";22;0;0;7,7875;"Queenstown";"Ms";NA;NA;NA
"84";"no";"1";"male";28;0;0;47,1;"Southampton";"Mr";NA;NA;NA
"85";"yes";"2";"female";17;0;0;10,5;"Southampton";"Ms";NA;NA;NA
"86";"yes";"3";"female";33;3;0;15,85;"Southampton";"Mrs";NA;NA;NA
"87";"no";"3";"male";16;1;3;34,375;"Southampton";"Mr";NA;NA;NA
"88";"no";"3";"male";30;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"89";"yes";"1";"female";23;3;2;263;"Southampton";"Ms";"Steuerbord";"C";"23, 25, 27"
"90";"no";"3";"male";24;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"91";"no";"3";"male";29;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"92";"no";"3";"male";20;0;0;7,8542;"Southampton";"Mr";NA;NA;NA
"93";"no";"1";"male";46;1;0;61,175;"Southampton";"Mr";"Steuerbord";"E";"31"
"94";"no";"3";"male";26;1;2;20,575;"Southampton";"Mr";NA;NA;NA
"95";"no";"3";"male";59;0;0;7,25;"Southampton";"Mr";NA;NA;NA
"96";"no";"3";"male";30;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"97";"no";"1";"male";71;0;0;34,6542;"Cherbourg";"Mr";"Steuerbord";"A";"5"
"98";"yes";"1";"male";23;0;1;63,3583;"Cherbourg";"Mr";"Backbord";"D";"10, 12"
"99";"yes";"2";"female";34;0;1;23;"Southampton";"Mrs";NA;NA;NA
"100";"no";"2";"male";34;1;0;26;"Southampton";"Mr";NA;NA;NA
"101";"no";"3";"female";28;0;0;7,8958;"Southampton";"Ms";NA;NA;NA
"102";"no";"3";"male";30;0;0;7,8958;"Southampton";"Mr";NA;NA;NA
"103";"no";"1";"male";21;0;1;77,2875;"Southampton";"Mr";"Backbord";"D";"26"
"104";"no";"3";"male";33;0;0;8,6542;"Southampton";"Mr";NA;NA;NA
"105";"no";"3";"male";37;2;0;7,925;"Southampton";"Mr";NA;NA;NA
"106";"no";"3";"male";28;0;0;7,8958;"Southampton";"Mr";NA;NA;NA
"107";"yes";"3";"female";21;0;0;7,65;"Southampton";"Ms";NA;NA;NA
"108";"yes";"3";"male";30;0;0;7,775;"Southampton";"Mr";NA;NA;NA
"109";"no";"3";"male";38;0;0;7,8958;"Southampton";"Mr";NA;NA;NA
"110";"yes";"3";"female";22;1;0;24,15;"Queenstown";"Ms";NA;NA;NA
"111";"no";"1";"male";47;0;0;52;"Southampton";"Mr";"Backbord";"C";"110"
"112";"no";"3";"female";14,5;1;0;14,4542;"Cherbourg";"Ms";NA;NA;NA
"113";"no";"3";"male";22;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"114";"no";"3";"female";20;1;0;9,825;"Southampton";"Ms";NA;NA;NA
"115";"no";"3";"female";17;0;0;14,4583;"Cherbourg";"Ms";NA;NA;NA
"116";"no";"3";"male";21;0;0;7,925;"Southampton";"Mr";NA;NA;NA
"117";"no";"3";"male";70,5;0;0;7,75;"Queenstown";"Mr";NA;NA;NA
"118";"no";"2";"male";29;1;0;21;"Southampton";"Mr";NA;NA;NA
"119";"no";"1";"male";24;0;1;247,5208;"Cherbourg";"Mr";"Backbord";"B";"58, 60"
"120";"no";"3";"female";2;4;2;31,275;"Southampton";"Ms";NA;NA;NA
"121";"no";"2";"male";21;2;0;73,5;"Southampton";"Mr";NA;NA;NA
"122";"no";"3";"male";30;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"123";"no";"2";"male";32,5;1;0;30,0708;"Cherbourg";"Mr";NA;NA;NA
"124";"yes";"2";"female";32,5;0;0;13;"Southampton";"Ms";"Steuerbord";"E";"101"
"125";"no";"1";"male";54;0;1;77,2875;"Southampton";"Mr";"Backbord";"D";"26"
"126";"yes";"3";"male";12;1;0;11,2417;"Cherbourg";"Master";NA;NA;NA
"127";"no";"3";"male";30;0;0;7,75;"Queenstown";"Mr";NA;NA;NA
"128";"yes";"3";"male";24;0;0;7,1417;"Southampton";"Mr";NA;NA;NA
"129";"yes";"3";"female";22;1;1;22,3583;"Cherbourg";"Ms";"Steuerbord";"E";"69"
"130";"no";"3";"male";45;0;0;6,975;"Southampton";"Mr";NA;NA;NA
"131";"no";"3";"male";33;0;0;7,8958;"Cherbourg";"Mr";NA;NA;NA
"132";"no";"3";"male";20;0;0;7,05;"Southampton";"Mr";NA;NA;NA
"133";"no";"3";"female";47;1;0;14,5;"Southampton";"Mrs";NA;NA;NA
"134";"yes";"2";"female";29;1;0;26;"Southampton";"Mrs";NA;NA;NA
"135";"no";"2";"male";25;0;0;13;"Southampton";"Mr";NA;NA;NA
"136";"no";"2";"male";23;0;0;15,0458;"Cherbourg";"Mr";NA;NA;NA
"137";"yes";"1";"female";19;0;2;26,2833;"Southampton";"Ms";"Steuerbord";"D";"47"
"138";"no";"1";"male";37;1;0;53,1;"Southampton";"Mr";"Steuerbord";"C";"123"
"139";"no";"3";"male";16;0;0;9,2167;"Southampton";"Mr";NA;NA;NA
"140";"no";"1";"male";24;0;0;79,2;"Cherbourg";"Mr";"Backbord";"B";"86"
"141";"no";"3";"female";35;0;2;15,2458;"Cherbourg";"Mrs";NA;NA;NA
"142";"yes";"3";"female";22;0;0;7,75;"Southampton";"Ms";NA;NA;NA
"143";"yes";"3";"female";24;1;0;15,85;"Southampton";"Mrs";NA;NA;NA
"144";"no";"3";"male";19;0;0;6,75;"Queenstown";"Mr";NA;NA;NA
"145";"no";"2";"male";18;0;0;11,5;"Southampton";"Mr";NA;NA;NA
"146";"no";"2";"male";19;1;1;36,75;"Southampton";"Mr";NA;NA;NA
"147";"yes";"3";"male";27;0;0;7,7958;"Southampton";"Mr";NA;NA;NA
"148";"no";"3";"female";9;2;2;34,375;"Southampton";"Ms";NA;NA;NA
"149";"no";"2";"male";36,5;0;2;26;"Southampton";"Mr";"Backbord";"F";"2"
"150";"no";"2";"male";42;0;0;13;"Southampton";"Mr";NA;NA;NA
"151";"no";"2";"male";51;0;0;12,525;"Southampton";"Mr";NA;NA;NA
"152";"yes";"1";"female";22;1;0;66,6;"Southampton";"Mrs";"Backbord";"C";"2"
"153";"no";"3";"male";55,5;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"154";"no";"3";"male";40,5;0;2;14,5;"Southampton";"Mr";NA;NA;NA
"155";"no";"3";"male";30;0;0;7,3125;"Southampton";"Mr";NA;NA;NA
"156";"no";"1";"male";51;0;1;61,3792;"Cherbourg";"Mr";NA;NA;NA
"157";"yes";"3";"female";16;0;0;7,7333;"Queenstown";"Ms";NA;NA;NA
"158";"no";"3";"male";30;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"159";"no";"3";"male";30;0;0;8,6625;"Southampton";"Mr";NA;NA;NA
"160";"no";"3";"male";3,5;8;2;69,55;"Southampton";"Master";NA;NA;NA
"161";"no";"3";"male";44;0;1;16,1;"Southampton";"Mr";NA;NA;NA
"162";"yes";"2";"female";40;0;0;15,75;"Southampton";"Mrs";NA;NA;NA
"163";"no";"3";"male";26;0;0;7,775;"Southampton";"Mr";NA;NA;NA
"164";"no";"3";"male";17;0;0;8,6625;"Southampton";"Mr";NA;NA;NA
"165";"no";"3";"male";1;4;1;39,6875;"Southampton";"Master";NA;NA;NA
"166";"yes";"3";"male";9;0;2;20,525;"Southampton";"Master";NA;NA;NA
"167";"yes";"1";"female";35;0;1;55;"Southampton";"Mrs";"Steuerbord";"E";"33"
"168";"no";"3";"female";45;1;4;27,9;"Southampton";"Mrs";NA;NA;NA
"169";"no";"1";"male";30;0;0;25,925;"Southampton";"Mr";NA;NA;NA
"170";"no";"3";"male";28;0;0;56,4958;"Southampton";"Mr";NA;NA;NA
"171";"no";"1";"male";61;0;0;33,5;"Southampton";"Mr";"Steuerbord";"B";"19"
"172";"no";"3";"male";4;4;1;29,125;"Queenstown";"Master";NA;NA;NA
"173";"yes";"3";"female";1;1;1;11,1333;"Southampton";"Ms";NA;NA;NA
"174";"no";"3";"male";21;0;0;7,925;"Southampton";"Mr";NA;NA;NA
"175";"no";"1";"male";56;0;0;30,6958;"Cherbourg";"Mr";"Steuerbord";"A";"7"
"176";"no";"3";"male";18;1;1;7,8542;"Southampton";"Mr";NA;NA;NA
"177";"no";"3";"male";3,5;3;1;25,4667;"Southampton";"Master";NA;NA;NA
"178";"no";"1";"female";50;0;0;28,7125;"Cherbourg";"Ms";"Steuerbord";"C";"49"
"179";"no";"2";"male";30;0;0;13;"Southampton";"Mr";NA;NA;NA
"180";"no";"3";"male";36;0;0;0;"Southampton";"Mr";NA;NA;NA
"181";"no";"3";"female";22;8;2;69,55;"Southampton";"Ms";NA;NA;NA
"182";"no";"2";"male";30;0;0;15,05;"Cherbourg";"Mr";NA;NA;NA
"183";"no";"3";"male";9;4;2;31,3875;"Southampton";"Master";NA;NA;NA
"184";"yes";"2";"male";1;2;1;39;"Southampton";"Master";"Backbord";"F";"4"
"185";"yes";"3";"female";4;0;2;22,025;"Southampton";"Ms";NA;NA;NA
"186";"no";"1";"male";30;0;0;50;"Southampton";"Mr";"Backbord";"A";"32"
"187";"yes";"3";"female";35;1;0;15,5;"Queenstown";"Mrs";NA;NA;NA
"188";"yes";"1";"male";45;0;0;26,55;"Southampton";"Mr";NA;NA;NA
"189";"no";"3";"male";40;1;1;15,5;"Queenstown";"Mr";NA;NA;NA
"190";"no";"3";"male";36;0;0;7,8958;"Southampton";"Mr";NA;NA;NA
"191";"yes";"2";"female";32;0;0;13;"Southampton";"Mrs";NA;NA;NA
"192";"no";"2";"male";19;0;0;13;"Southampton";"Mr";NA;NA;NA
"193";"yes";"3";"female";19;1;0;7,8542;"Southampton";"Ms";NA;NA;NA
"194";"yes";"2";"male";3;1;1;26;"Southampton";"Master";"Backbord";"F";"2"
"195";"yes";"1";"female";44;0;0;27,7208;"Cherbourg";"Mrs";"Backbord";"B";"4"
"196";"yes";"1";"female";58;0;0;146,5208;"Cherbourg";"Ms";"Backbord";"B";"80"
"197";"no";"3";"male";30;0;0;7,75;"Queenstown";"Mr";NA;NA;NA
"198";"no";"3";"male";42;0;1;8,4042;"Southampton";"Mr";NA;NA;NA
"199";"yes";"3";"female";22;0;0;7,75;"Queenstown";"Ms";NA;NA;NA
"200";"no";"2";"female";24;0;0;13;"Southampton";"Ms";NA;NA;NA
"201";"no";"3";"male";28;0;0;9,5;"Southampton";"Mr";NA;NA;NA
"202";"no";"3";"male";30;8;2;69,55;"Southampton";"Mr";NA;NA;NA
"203";"no";"3";"male";34;0;0;6,4958;"Southampton";"Mr";NA;NA;NA
"204";"no";"3";"male";45,5;0;0;7,225;"Cherbourg";"Mr";NA;NA;NA
"205";"yes";"3";"male";18;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"206";"no";"3";"female";2;0;1;10,4625;"Southampton";"Ms";"Backbord";"G";"6"
"207";"no";"3";"male";32;1;0;15,85;"Southampton";"Mr";NA;NA;NA
"208";"yes";"3";"male";26;0;0;18,7875;"Cherbourg";"Mr";NA;NA;NA
"209";"yes";"3";"female";16;0;0;7,75;"Queenstown";"Ms";NA;NA;NA
"210";"yes";"1";"male";40;0;0;31;"Cherbourg";"Mr";"Steuerbord";"A";"31"
"211";"no";"3";"male";24;0;0;7,05;"Southampton";"Mr";NA;NA;NA
"212";"yes";"2";"female";35;0;0;21;"Southampton";"Ms";NA;NA;NA
"213";"no";"3";"male";22;0;0;7,25;"Southampton";"Mr";NA;NA;NA
"214";"no";"2";"male";30;0;0;13;"Southampton";"Mr";NA;NA;NA
"215";"no";"3";"male";30;1;0;7,75;"Queenstown";"Mr";NA;NA;NA
"216";"yes";"1";"female";31;1;0;113,275;"Cherbourg";"Ms";"Backbord";"D";"36"
"217";"yes";"3";"female";27;0;0;7,925;"Southampton";"Ms";NA;NA;NA
"218";"no";"2";"male";42;1;0;27;"Southampton";"Mr";NA;NA;NA
"219";"yes";"1";"female";32;0;0;76,2917;"Cherbourg";"Ms";"Steuerbord";"D";"15"
"220";"no";"2";"male";30;0;0;10,5;"Southampton";"Mr";NA;NA;NA
"221";"yes";"3";"male";16;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"222";"no";"2";"male";27;0;0;13;"Southampton";"Mr";NA;NA;NA
"223";"no";"3";"male";51;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"224";"no";"3";"male";30;0;0;7,8958;"Southampton";"Mr";NA;NA;NA
"225";"yes";"1";"male";38;1;0;90;"Southampton";"Mr";"Steuerbord";"C";"93"
"226";"no";"3";"male";22;0;0;9,35;"Southampton";"Mr";NA;NA;NA
"227";"yes";"2";"male";19;0;0;10,5;"Southampton";"Mr";NA;NA;NA
"228";"no";"3";"male";20,5;0;0;7,25;"Southampton";"Mr";NA;NA;NA
"229";"no";"2";"male";18;0;0;13;"Southampton";"Mr";NA;NA;NA
"230";"no";"3";"female";22;3;1;25,4667;"Southampton";"Ms";NA;NA;NA
"231";"yes";"1";"female";35;1;0;83,475;"Southampton";"Mrs";"Steuerbord";"C";"83"
"232";"no";"3";"male";29;0;0;7,775;"Southampton";"Mr";NA;NA;NA
"233";"no";"2";"male";59;0;0;13,5;"Southampton";"Mr";NA;NA;NA
"234";"yes";"3";"female";5;4;2;31,3875;"Southampton";"Ms";NA;NA;NA
"235";"no";"2";"male";24;0;0;10,5;"Southampton";"Mr";NA;NA;NA
"236";"no";"3";"female";22;0;0;7,55;"Southampton";"Ms";NA;NA;NA
"237";"no";"2";"male";44;1;0;26;"Southampton";"Mr";NA;NA;NA
"238";"yes";"2";"female";8;0;2;26,25;"Southampton";"Ms";NA;NA;NA
"239";"no";"2";"male";19;0;0;10,5;"Southampton";"Mr";NA;NA;NA
"240";"no";"2";"male";33;0;0;12,275;"Southampton";"Mr";NA;NA;NA
"241";"no";"3";"female";22;1;0;14,4542;"Cherbourg";"Ms";NA;NA;NA
"242";"yes";"3";"female";22;1;0;15,5;"Queenstown";"Ms";NA;NA;NA
"243";"no";"2";"male";29;0;0;10,5;"Southampton";"Mr";NA;NA;NA
"244";"no";"3";"male";22;0;0;7,125;"Southampton";"Mr";NA;NA;NA
"245";"no";"3";"male";30;0;0;7,225;"Cherbourg";"Mr";NA;NA;NA
"246";"no";"1";"male";44;2;0;90;"Queenstown";"Mr";"Backbord";"C";"78"
"247";"no";"3";"female";25;0;0;7,775;"Southampton";"Ms";NA;NA;NA
"248";"yes";"2";"female";24;0;2;14,5;"Southampton";"Mrs";NA;NA;NA
"249";"yes";"1";"male";37;1;1;52,5542;"Southampton";"Mr";"Steuerbord";"D";"35"
"250";"no";"2";"male";54;1;0;26;"Southampton";"Mr";NA;NA;NA
"251";"no";"3";"male";30;0;0;7,25;"Southampton";"Mr";NA;NA;NA
"252";"no";"3";"female";29;1;1;10,4625;"Southampton";"Mrs";"Backbord";"G";"6"
"253";"no";"1";"male";62;0;0;26,55;"Southampton";"Mr";"Steuerbord";"C";"87"
"254";"no";"3";"male";30;1;0;16,1;"Southampton";"Mr";NA;NA;NA
"255";"no";"3";"female";41;0;2;20,2125;"Southampton";"Mrs";NA;NA;NA
"256";"yes";"3";"female";29;0;2;15,2458;"Cherbourg";"Mrs";NA;NA;NA
"257";"yes";"1";"female";35;0;0;79,2;"Cherbourg";"Mrs";NA;NA;NA
"258";"yes";"1";"female";30;0;0;86,5;"Southampton";"Ms";"Steuerbord";"B";"77"
"259";"yes";"1";"female";35;0;0;512,3292;"Cherbourg";"Ms";NA;NA;NA
"260";"yes";"2";"female";50;0;1;26;"Southampton";"Mrs";NA;NA;NA
"261";"no";"3";"male";30;0;0;7,75;"Queenstown";"Mr";NA;NA;NA
"262";"yes";"3";"male";3;4;2;31,3875;"Southampton";"Master";NA;NA;NA
"263";"no";"1";"male";52;1;1;79,65;"Southampton";"Mr";"Steuerbord";"E";"67"
"264";"no";"1";"male";40;0;0;0;"Southampton";"Mr";"Backbord";"B";"94"
"265";"no";"3";"female";22;0;0;7,75;"Queenstown";"Ms";NA;NA;NA
"266";"no";"2";"male";36;0;0;10,5;"Southampton";"Mr";NA;NA;NA
"267";"no";"3";"male";16;4;1;39,6875;"Southampton";"Mr";NA;NA;NA
"268";"yes";"3";"male";25;1;0;7,775;"Southampton";"Mr";NA;NA;NA
"269";"yes";"1";"female";58;0;1;153,4625;"Southampton";"Mrs";"Steuerbord";"C";"125"
"270";"yes";"1";"female";35;0;0;135,6333;"Southampton";"Ms";"Steuerbord";"C";"99"
"271";"no";"1";"male";30;0;0;31;"Southampton";"Mr";NA;NA;NA
"272";"yes";"3";"male";25;0;0;0;"Southampton";"Mr";NA;NA;NA
"273";"yes";"2";"female";41;0;1;19,5;"Southampton";"Mrs";NA;NA;NA
"274";"no";"1";"male";37;0;1;29,7;"Cherbourg";"Mr";"Backbord";"C";"118"
"275";"yes";"3";"female";22;0;0;7,75;"Queenstown";"Ms";NA;NA;NA
"276";"yes";"1";"female";63;1;0;77,9583;"Southampton";"Ms";"Steuerbord";"D";"7"
"277";"no";"3";"female";45;0;0;7,75;"Southampton";"Ms";NA;NA;NA
"278";"no";"2";"male";30;0;0;0;"Southampton";"Mr";NA;NA;NA
"279";"no";"3";"male";7;4;1;29,125;"Queenstown";"Master";NA;NA;NA
"280";"yes";"3";"female";35;1;1;20,25;"Southampton";"Mrs";NA;NA;NA
"281";"no";"3";"male";65;0;0;7,75;"Queenstown";"Mr";NA;NA;NA
"282";"no";"3";"male";28;0;0;7,8542;"Southampton";"Mr";NA;NA;NA
"283";"no";"3";"male";16;0;0;9,5;"Southampton";"Mr";NA;NA;NA
"284";"yes";"3";"male";19;0;0;8,05;"Southampton";"Mr";NA;NA;NA
"285";"no";"1";"male";30;0;0;26;"Southampton";"Mr";"Steuerbord";"A";"19"
"286";"no";"3";"male";33;0;0;8,6625;"Cherbourg";"Mr";NA;NA;NA
"287";"yes";"3";"male";30;0;0;9,5;"Southampton";"Mr";NA;NA;NA
"288";"no";"3";"male";22;0;0;7,8958;"Southampton";"Mr";NA;NA;NA
"289";"yes";"2";"male";42;0;0;13;"Southampton";"Mr";NA;NA;NA
"290";"yes";"3";"female";22;0;0;7,75;"Queenstown";"Ms";NA;NA;NA
"291";"yes";"1";"female";26;0;0;78,85;"Southampton";"Ms";NA;NA;NA
"292";"yes";"1";"female";19;1;0;91,0792;"Cherbourg";"Mrs";"Steuerbord";"B";"49"
"293";"no";"2";"male";36;0;0;12,875;"Cherbourg";"Mr";"";"";""
"294";"no";"3";"female";24;0;0;8,85;"Southampton";"Ms";NA;NA;NA
"295";"no";"3";"male";24;0;0;7,8958;"Southampton";"Mr";NA;NA;NA
"296";"no";"1";"male";30;0;0;27,7208;"Cherbourg";"Mr";NA;NA;NA
"297";"no";"3";"male";23,5;0;0;7,2292;"Cherbourg";"Mr";NA;NA;NA
"298";"no";"1";"female";2;1;2;151,55;"Southampton";"Ms";"Backbord";"C";"22, 26"
