,X,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Side,Deck,CabinNumbers
1,1,no,3,male,22,1,0,7.25,Southampton,Mr,NA,NA,NA
2,2,yes,1,female,38,1,0,71.2833,Cherbourg,Mrs,Steuerbord,C,85
3,3,yes,3,female,26,0,0,7.925,Southampton,Ms,NA,NA,NA
4,4,yes,1,female,35,1,0,53.1,Southampton,Mrs,Steuerbord,C,123
5,5,no,3,male,35,0,0,8.05,Southampton,Mr,NA,NA,NA
6,6,no,3,male,30,0,0,8.4583,Queenstown,Mr,NA,NA,NA
7,7,no,1,male,54,0,0,51.8625,Southampton,Mr,Backbord,E,46
8,8,no,3,male,2,3,1,21.075,Southampton,Master,NA,NA,NA
9,9,yes,3,female,27,0,2,11.1333,Southampton,Mrs,NA,NA,NA
10,10,yes,2,female,14,1,0,30.0708,Cherbourg,Mrs,NA,NA,NA
11,11,yes,3,female,4,1,1,16.7,Southampton,Ms,Backbord,G,6
12,12,yes,1,female,58,0,0,26.55,Southampton,Ms,Steuerbord,C,103
13,13,no,3,male,20,0,0,8.05,Southampton,Mr,NA,NA,NA
14,14,no,3,male,39,1,5,31.275,Southampton,Mr,NA,NA,NA
15,15,no,3,female,14,0,0,7.8542,Southampton,Ms,NA,NA,NA
16,16,yes,2,female,55,0,0,16,Southampton,Mrs,NA,NA,NA
17,17,no,3,male,2,4,1,29.125,Queenstown,Master,NA,NA,NA
18,18,yes,2,male,30,0,0,13,Southampton,Mr,NA,NA,NA
19,19,no,3,female,31,1,0,18,Southampton,Mrs,NA,NA,NA
20,20,yes,3,female,35,0,0,7.225,Cherbourg,Mrs,NA,NA,NA
21,21,no,2,male,35,0,0,26,Southampton,Mr,NA,NA,NA
22,22,yes,2,male,34,0,0,13,Southampton,Mr,Backbord,D,56
23,23,yes,3,female,15,0,0,8.0292,Queenstown,Ms,NA,NA,NA
24,24,yes,1,male,28,0,0,35.5,Southampton,Mr,Backbord,A,6
25,25,no,3,female,8,3,1,21.075,Southampton,Ms,NA,NA,NA
26,26,yes,3,female,38,1,5,31.3875,Southampton,Mrs,NA,NA,NA
27,27,no,3,male,30,0,0,7.225,Cherbourg,Mr,NA,NA,NA
28,28,no,1,male,19,3,2,263,Southampton,Mr,Steuerbord,C,23
29,25, 27,NA,,NA,NA,NA,NA,,,,,
30,29,yes,3,female,22,0,0,7.8792,Queenstown,Ms,NA,NA,NA
31,30,no,3,male,30,0,0,7.8958,Southampton,Mr,NA,NA,NA
32,31,no,1,male,40,0,0,27.7208,Cherbourg,Mr,NA,NA,NA
33,32,yes,1,female,35,1,0,146.5208,Cherbourg,Mrs,Backbord,B,78
34,33,yes,3,female,22,0,0,7.75,Queenstown,Ms,NA,NA,NA
35,34,no,2,male,66,0,0,10.5,Southampton,Mr,NA,NA,NA
36,35,no,1,male,28,1,0,82.1708,Cherbourg,Mr,NA,NA,NA
37,36,no,1,male,42,1,0,52,Southampton,Mr,NA,NA,NA
38,37,yes,3,male,30,0,0,7.2292,Cherbourg,Mr,NA,NA,NA
39,38,no,3,male,21,0,0,8.05,Southampton,Mr,NA,NA,NA
40,39,no,3,female,18,2,0,18,Southampton,Ms,NA,NA,NA
41,40,yes,3,female,14,1,0,11.2417,Cherbourg,Ms,NA,NA,NA
42,41,no,3,female,40,1,0,9.475,Southampton,Mrs,NA,NA,NA
43,42,no,2,female,27,1,0,21,Southampton,Mrs,NA,NA,NA
44,43,no,3,male,30,0,0,7.8958,Cherbourg,Mr,NA,NA,NA
45,44,yes,2,female,3,1,2,41.5792,Cherbourg,Ms,NA,NA,NA
46,45,yes,3,female,19,0,0,7.8792,Queenstown,Ms,NA,NA,NA
47,46,no,3,male,30,0,0,8.05,Southampton,Mr,NA,NA,NA
48,47,no,3,male,30,1,0,15.5,Queenstown,Mr,NA,NA,NA
49,48,yes,3,female,22,0,0,7.75,Queenstown,Ms,NA,NA,NA
50,49,no,3,male,30,2,0,21.6792,Cherbourg,Mr,NA,NA,NA
51,50,no,3,female,18,1,0,17.8,Southampton,Mrs,NA,NA,NA
52,51,no,3,male,7,4,1,39.6875,Southampton,Master,NA,NA,NA
53,52,no,3,male,21,0,0,7.8,Southampton,Mr,NA,NA,NA
54,53,yes,1,female,49,1,0,76.7292,Cherbourg,Mrs,Steuerbord,D,33
55,54,yes,2,female,29,1,0,26,Southampton,Mrs,NA,NA,NA
56,55,no,1,male,65,0,1,61.9792,Cherbourg,Mr,Backbord,B,30
57,56,yes,1,male,30,0,0,35.5,Southampton,Mr,Backbord,C,52
58,57,yes,2,female,21,0,0,10.5,Southampton,Ms,NA,NA,NA
59,58,no,3,male,28.5,0,0,7.2292,Cherbourg,Mr,NA,NA,NA
60,59,yes,2,female,5,1,2,27.75,Southampton,Ms,NA,NA,NA
61,60,no,3,male,11,5,2,46.9,Southampton,Master,NA,NA,NA
62,61,no,3,male,22,0,0,7.2292,Cherbourg,Mr,NA,NA,NA
63,62,yes,1,female,38,0,0,80,NA,Ms,Backbord,B,28
64,63,no,1,male,45,1,0,83.475,Southampton,Mr,Steuerbord,C,83
65,64,no,3,male,4,3,2,27.9,Southampton,Master,NA,NA,NA
66,65,no,1,male,30,0,0,27.7208,Cherbourg,Mr,NA,NA,NA
67,66,yes,3,male,3.5,1,1,15.2458,Cherbourg,Master,NA,NA,NA
68,67,yes,2,female,29,0,0,10.5,Southampton,Mrs,Steuerbord,F,33
69,68,no,3,male,19,0,0,8.1583,Southampton,Mr,NA,NA,NA
70,69,yes,3,female,17,4,2,7.925,Southampton,Ms,NA,NA,NA
71,70,no,3,male,26,2,0,8.6625,Southampton,Mr,NA,NA,NA
72,71,no,2,male,32,0,0,10.5,Southampton,Mr,NA,NA,NA
73,72,no,3,female,16,5,2,46.9,Southampton,Ms,NA,NA,NA
74,73,no,2,male,21,0,0,73.5,Southampton,Mr,NA,NA,NA
75,74,no,3,male,26,1,0,14.4542,Cherbourg,Mr,NA,NA,NA
76,75,yes,3,male,32,0,0,56.4958,Southampton,Mr,NA,NA,NA
77,76,no,3,male,25,0,0,7.65,Southampton,Mr,Steuerbord,G,73
78,77,no,3,male,30,0,0,7.8958,Southampton,Mr,NA,NA,NA
79,78,no,3,male,30,0,0,8.05,Southampton,Mr,NA,NA,NA
80,79,yes,2,male,0.83,0,2,29,Southampton,Master,NA,NA,NA
81,80,yes,3,female,30,0,0,12.475,Southampton,Ms,NA,NA,NA
82,81,no,3,male,22,0,0,9,Southampton,Mr,NA,NA,NA
83,82,yes,3,male,29,0,0,9.5,Southampton,Mr,NA,NA,NA
84,83,yes,3,female,22,0,0,7.7875,Queenstown,Ms,NA,NA,NA
85,84,no,1,male,28,0,0,47.1,Southampton,Mr,NA,NA,NA
86,85,yes,2,female,17,0,0,10.5,Southampton,Ms,NA,NA,NA
87,86,yes,3,female,33,3,0,15.85,Southampton,Mrs,NA,NA,NA
88,87,no,3,male,16,1,3,34.375,Southampton,Mr,NA,NA,NA
89,88,no,3,male,30,0,0,8.05,Southampton,Mr,NA,NA,NA
90,89,yes,1,female,23,3,2,263,Southampton,Ms,Steuerbord,C,23
91,25, 27,NA,,NA,NA,NA,NA,,,,,
92,90,no,3,male,24,0,0,8.05,Southampton,Mr,NA,NA,NA
93,91,no,3,male,29,0,0,8.05,Southampton,Mr,NA,NA,NA
94,92,no,3,male,20,0,0,7.8542,Southampton,Mr,NA,NA,NA
95,93,no,1,male,46,1,0,61.175,Southampton,Mr,Steuerbord,E,31
96,94,no,3,male,26,1,2,20.575,Southampton,Mr,NA,NA,NA
97,95,no,3,male,59,0,0,7.25,Southampton,Mr,NA,NA,NA
98,96,no,3,male,30,0,0,8.05,Southampton,Mr,NA,NA,NA
99,97,no,1,male,71,0,0,34.6542,Cherbourg,Mr,Steuerbord,A,5
100,98,yes,1,male,23,0,1,63.3583,Cherbourg,Mr,Backbord,D,10
101,12,,NA,,NA,NA,NA,NA,,,,,
102,99,yes,2,female,34,0,1,23,Southampton,Mrs,NA,NA,NA
103,100,no,2,male,34,1,0,26,Southampton,Mr,NA,NA,NA
104,101,no,3,female,28,0,0,7.8958,Southampton,Ms,NA,NA,NA
105,102,no,3,male,30,0,0,7.8958,Southampton,Mr,NA,NA,NA
106,103,no,1,male,21,0,1,77.2875,Southampton,Mr,Backbord,D,26
107,104,no,3,male,33,0,0,8.6542,Southampton,Mr,NA,NA,NA
108,105,no,3,male,37,2,0,7.925,Southampton,Mr,NA,NA,NA
109,106,no,3,male,28,0,0,7.8958,Southampton,Mr,NA,NA,NA
110,107,yes,3,female,21,0,0,7.65,Southampton,Ms,NA,NA,NA
111,108,yes,3,male,30,0,0,7.775,Southampton,Mr,NA,NA,NA
112,109,no,3,male,38,0,0,7.8958,Southampton,Mr,NA,NA,NA
113,110,yes,3,female,22,1,0,24.15,Queenstown,Ms,NA,NA,NA
114,111,no,1,male,47,0,0,52,Southampton,Mr,Backbord,C,110
115,112,no,3,female,14.5,1,0,14.4542,Cherbourg,Ms,NA,NA,NA
116,113,no,3,male,22,0,0,8.05,Southampton,Mr,NA,NA,NA
117,114,no,3,female,20,1,0,9.825,Southampton,Ms,NA,NA,NA
118,115,no,3,female,17,0,0,14.4583,Cherbourg,Ms,NA,NA,NA
119,116,no,3,male,21,0,0,7.925,Southampton,Mr,NA,NA,NA
120,117,no,3,male,70.5,0,0,7.75,Queenstown,Mr,NA,NA,NA
121,118,no,2,male,29,1,0,21,Southampton,Mr,NA,NA,NA
122,119,no,1,male,24,0,1,247.5208,Cherbourg,Mr,Backbord,B,58
123,60,,NA,,NA,NA,NA,NA,,,,,
124,120,no,3,female,2,4,2,31.275,Southampton,Ms,NA,NA,NA
125,121,no,2,male,21,2,0,73.5,Southampton,Mr,NA,NA,NA
126,122,no,3,male,30,0,0,8.05,Southampton,Mr,NA,NA,NA
127,123,no,2,male,32.5,1,0,30.0708,Cherbourg,Mr,NA,NA,NA
128,124,yes,2,female,32.5,0,0,13,Southampton,Ms,Steuerbord,E,101
129,125,no,1,male,54,0,1,77.2875,Southampton,Mr,Backbord,D,26
130,126,yes,3,male,12,1,0,11.2417,Cherbourg,Master,NA,NA,NA
131,127,no,3,male,30,0,0,7.75,Queenstown,Mr,NA,NA,NA
132,128,yes,3,male,24,0,0,7.1417,Southampton,Mr,NA,NA,NA
133,129,yes,3,female,22,1,1,22.3583,Cherbourg,Ms,Steuerbord,E,69
134,130,no,3,male,45,0,0,6.975,Southampton,Mr,NA,NA,NA
135,131,no,3,male,33,0,0,7.8958,Cherbourg,Mr,NA,NA,NA
136,132,no,3,male,20,0,0,7.05,Southampton,Mr,NA,NA,NA
137,133,no,3,female,47,1,0,14.5,Southampton,Mrs,NA,NA,NA
138,134,yes,2,female,29,1,0,26,Southampton,Mrs,NA,NA,NA
139,135,no,2,male,25,0,0,13,Southampton,Mr,NA,NA,NA
140,136,no,2,male,23,0,0,15.0458,Cherbourg,Mr,NA,NA,NA
141,137,yes,1,female,19,0,2,26.2833,Southampton,Ms,Steuerbord,D,47
142,138,no,1,male,37,1,0,53.1,Southampton,Mr,Steuerbord,C,123
143,139,no,3,male,16,0,0,9.2167,Southampton,Mr,NA,NA,NA
144,140,no,1,male,24,0,0,79.2,Cherbourg,Mr,Backbord,B,86
145,141,no,3,female,35,0,2,15.2458,Cherbourg,Mrs,NA,NA,NA
146,142,yes,3,female,22,0,0,7.75,Southampton,Ms,NA,NA,NA
147,143,yes,3,female,24,1,0,15.85,Southampton,Mrs,NA,NA,NA
148,144,no,3,male,19,0,0,6.75,Queenstown,Mr,NA,NA,NA
149,145,no,2,male,18,0,0,11.5,Southampton,Mr,NA,NA,NA
150,146,no,2,male,19,1,1,36.75,Southampton,Mr,NA,NA,NA
151,147,yes,3,male,27,0,0,7.7958,Southampton,Mr,NA,NA,NA
152,148,no,3,female,9,2,2,34.375,Southampton,Ms,NA,NA,NA
153,149,no,2,male,36.5,0,2,26,Southampton,Mr,Backbord,F,2
154,150,no,2,male,42,0,0,13,Southampton,Mr,NA,NA,NA
155,151,no,2,male,51,0,0,12.525,Southampton,Mr,NA,NA,NA
156,152,yes,1,female,22,1,0,66.6,Southampton,Mrs,Backbord,C,2
157,153,no,3,male,55.5,0,0,8.05,Southampton,Mr,NA,NA,NA
158,154,no,3,male,40.5,0,2,14.5,Southampton,Mr,NA,NA,NA
159,155,no,3,male,30,0,0,7.3125,Southampton,Mr,NA,NA,NA
160,156,no,1,male,51,0,1,61.3792,Cherbourg,Mr,NA,NA,NA
161,157,yes,3,female,16,0,0,7.7333,Queenstown,Ms,NA,NA,NA
162,158,no,3,male,30,0,0,8.05,Southampton,Mr,NA,NA,NA
163,159,no,3,male,30,0,0,8.6625,Southampton,Mr,NA,NA,NA
164,160,no,3,male,3.5,8,2,69.55,Southampton,Master,NA,NA,NA
165,161,no,3,male,44,0,1,16.1,Southampton,Mr,NA,NA,NA
166,162,yes,2,female,40,0,0,15.75,Southampton,Mrs,NA,NA,NA
167,163,no,3,male,26,0,0,7.775,Southampton,Mr,NA,NA,NA
168,164,no,3,male,17,0,0,8.6625,Southampton,Mr,NA,NA,NA
169,165,no,3,male,1,4,1,39.6875,Southampton,Master,NA,NA,NA
170,166,yes,3,male,9,0,2,20.525,Southampton,Master,NA,NA,NA
171,167,yes,1,female,35,0,1,55,Southampton,Mrs,Steuerbord,E,33
172,168,no,3,female,45,1,4,27.9,Southampton,Mrs,NA,NA,NA
173,169,no,1,male,30,0,0,25.925,Southampton,Mr,NA,NA,NA
174,170,no,3,male,28,0,0,56.4958,Southampton,Mr,NA,NA,NA
175,171,no,1,male,61,0,0,33.5,Southampton,Mr,Steuerbord,B,19
176,172,no,3,male,4,4,1,29.125,Queenstown,Master,NA,NA,NA
177,173,yes,3,female,1,1,1,11.1333,Southampton,Ms,NA,NA,NA
178,174,no,3,male,21,0,0,7.925,Southampton,Mr,NA,NA,NA
179,175,no,1,male,56,0,0,30.6958,Cherbourg,Mr,Steuerbord,A,7
180,176,no,3,male,18,1,1,7.8542,Southampton,Mr,NA,NA,NA
181,177,no,3,male,3.5,3,1,25.4667,Southampton,Master,NA,NA,NA
182,178,no,1,female,50,0,0,28.7125,Cherbourg,Ms,Steuerbord,C,49
183,179,no,2,male,30,0,0,13,Southampton,Mr,NA,NA,NA
184,180,no,3,male,36,0,0,0,Southampton,Mr,NA,NA,NA
185,181,no,3,female,22,8,2,69.55,Southampton,Ms,NA,NA,NA
186,182,no,2,male,30,0,0,15.05,Cherbourg,Mr,NA,NA,NA
187,183,no,3,male,9,4,2,31.3875,Southampton,Master,NA,NA,NA
188,184,yes,2,male,1,2,1,39,Southampton,Master,Backbord,F,4
189,185,yes,3,female,4,0,2,22.025,Southampton,Ms,NA,NA,NA
190,186,no,1,male,30,0,0,50,Southampton,Mr,Backbord,A,32
191,187,yes,3,female,35,1,0,15.5,Queenstown,Mrs,NA,NA,NA
192,188,yes,1,male,45,0,0,26.55,Southampton,Mr,NA,NA,NA
193,189,no,3,male,40,1,1,15.5,Queenstown,Mr,NA,NA,NA
194,190,no,3,male,36,0,0,7.8958,Southampton,Mr,NA,NA,NA
195,191,yes,2,female,32,0,0,13,Southampton,Mrs,NA,NA,NA
196,192,no,2,male,19,0,0,13,Southampton,Mr,NA,NA,NA
197,193,yes,3,female,19,1,0,7.8542,Southampton,Ms,NA,NA,NA
198,194,yes,2,male,3,1,1,26,Southampton,Master,Backbord,F,2
199,195,yes,1,female,44,0,0,27.7208,Cherbourg,Mrs,Backbord,B,4
200,196,yes,1,female,58,0,0,146.5208,Cherbourg,Ms,Backbord,B,80
201,197,no,3,male,30,0,0,7.75,Queenstown,Mr,NA,NA,NA
202,198,no,3,male,42,0,1,8.4042,Southampton,Mr,NA,NA,NA
203,199,yes,3,female,22,0,0,7.75,Queenstown,Ms,NA,NA,NA
204,200,no,2,female,24,0,0,13,Southampton,Ms,NA,NA,NA
205,201,no,3,male,28,0,0,9.5,Southampton,Mr,NA,NA,NA
206,202,no,3,male,30,8,2,69.55,Southampton,Mr,NA,NA,NA
207,203,no,3,male,34,0,0,6.4958,Southampton,Mr,NA,NA,NA
208,204,no,3,male,45.5,0,0,7.225,Cherbourg,Mr,NA,NA,NA
209,205,yes,3,male,18,0,0,8.05,Southampton,Mr,NA,NA,NA
210,206,no,3,female,2,0,1,10.4625,Southampton,Ms,Backbord,G,6
211,207,no,3,male,32,1,0,15.85,Southampton,Mr,NA,NA,NA
212,208,yes,3,male,26,0,0,18.7875,Cherbourg,Mr,NA,NA,NA
213,209,yes,3,female,16,0,0,7.75,Queenstown,Ms,NA,NA,NA
214,210,yes,1,male,40,0,0,31,Cherbourg,Mr,Steuerbord,A,31
215,211,no,3,male,24,0,0,7.05,Southampton,Mr,NA,NA,NA
216,212,yes,2,female,35,0,0,21,Southampton,Ms,NA,NA,NA
217,213,no,3,male,22,0,0,7.25,Southampton,Mr,NA,NA,NA
218,214,no,2,male,30,0,0,13,Southampton,Mr,NA,NA,NA
219,215,no,3,male,30,1,0,7.75,Queenstown,Mr,NA,NA,NA
220,216,yes,1,female,31,1,0,113.275,Cherbourg,Ms,Backbord,D,36
221,217,yes,3,female,27,0,0,7.925,Southampton,Ms,NA,NA,NA
222,218,no,2,male,42,1,0,27,Southampton,Mr,NA,NA,NA
223,219,yes,1,female,32,0,0,76.2917,Cherbourg,Ms,Steuerbord,D,15
224,220,no,2,male,30,0,0,10.5,Southampton,Mr,NA,NA,NA
225,221,yes,3,male,16,0,0,8.05,Southampton,Mr,NA,NA,NA
226,222,no,2,male,27,0,0,13,Southampton,Mr,NA,NA,NA
227,223,no,3,male,51,0,0,8.05,Southampton,Mr,NA,NA,NA
228,224,no,3,male,30,0,0,7.8958,Southampton,Mr,NA,NA,NA
229,225,yes,1,male,38,1,0,90,Southampton,Mr,Steuerbord,C,93
230,226,no,3,male,22,0,0,9.35,Southampton,Mr,NA,NA,NA
231,227,yes,2,male,19,0,0,10.5,Southampton,Mr,NA,NA,NA
232,228,no,3,male,20.5,0,0,7.25,Southampton,Mr,NA,NA,NA
233,229,no,2,male,18,0,0,13,Southampton,Mr,NA,NA,NA
234,230,no,3,female,22,3,1,25.4667,Southampton,Ms,NA,NA,NA
235,231,yes,1,female,35,1,0,83.475,Southampton,Mrs,Steuerbord,C,83
236,232,no,3,male,29,0,0,7.775,Southampton,Mr,NA,NA,NA
237,233,no,2,male,59,0,0,13.5,Southampton,Mr,NA,NA,NA
238,234,yes,3,female,5,4,2,31.3875,Southampton,Ms,NA,NA,NA
239,235,no,2,male,24,0,0,10.5,Southampton,Mr,NA,NA,NA
240,236,no,3,female,22,0,0,7.55,Southampton,Ms,NA,NA,NA
241,237,no,2,male,44,1,0,26,Southampton,Mr,NA,NA,NA
242,238,yes,2,female,8,0,2,26.25,Southampton,Ms,NA,NA,NA
243,239,no,2,male,19,0,0,10.5,Southampton,Mr,NA,NA,NA
244,240,no,2,male,33,0,0,12.275,Southampton,Mr,NA,NA,NA
245,241,no,3,female,22,1,0,14.4542,Cherbourg,Ms,NA,NA,NA
246,242,yes,3,female,22,1,0,15.5,Queenstown,Ms,NA,NA,NA
247,243,no,2,male,29,0,0,10.5,Southampton,Mr,NA,NA,NA
248,244,no,3,male,22,0,0,7.125,Southampton,Mr,NA,NA,NA
249,245,no,3,male,30,0,0,7.225,Cherbourg,Mr,NA,NA,NA
250,246,no,1,male,44,2,0,90,Queenstown,Mr,Backbord,C,78
251,247,no,3,female,25,0,0,7.775,Southampton,Ms,NA,NA,NA
252,248,yes,2,female,24,0,2,14.5,Southampton,Mrs,NA,NA,NA
253,249,yes,1,male,37,1,1,52.5542,Southampton,Mr,Steuerbord,D,35
254,250,no,2,male,54,1,0,26,Southampton,Mr,NA,NA,NA
255,251,no,3,male,30,0,0,7.25,Southampton,Mr,NA,NA,NA
256,252,no,3,female,29,1,1,10.4625,Southampton,Mrs,Backbord,G,6
257,253,no,1,male,62,0,0,26.55,Southampton,Mr,Steuerbord,C,87
258,254,no,3,male,30,1,0,16.1,Southampton,Mr,NA,NA,NA
259,255,no,3,female,41,0,2,20.2125,Southampton,Mrs,NA,NA,NA
260,256,yes,3,female,29,0,2,15.2458,Cherbourg,Mrs,NA,NA,NA
261,257,yes,1,female,35,0,0,79.2,Cherbourg,Mrs,NA,NA,NA
262,258,yes,1,female,30,0,0,86.5,Southampton,Ms,Steuerbord,B,77
263,259,yes,1,female,35,0,0,512.3292,Cherbourg,Ms,NA,NA,NA
264,260,yes,2,female,50,0,1,26,Southampton,Mrs,NA,NA,NA
265,261,no,3,male,30,0,0,7.75,Queenstown,Mr,NA,NA,NA
266,262,yes,3,male,3,4,2,31.3875,Southampton,Master,NA,NA,NA
267,263,no,1,male,52,1,1,79.65,Southampton,Mr,Steuerbord,E,67
268,264,no,1,male,40,0,0,0,Southampton,Mr,Backbord,B,94
269,265,no,3,female,22,0,0,7.75,Queenstown,Ms,NA,NA,NA
270,266,no,2,male,36,0,0,10.5,Southampton,Mr,NA,NA,NA
271,267,no,3,male,16,4,1,39.6875,Southampton,Mr,NA,NA,NA
272,268,yes,3,male,25,1,0,7.775,Southampton,Mr,NA,NA,NA
273,269,yes,1,female,58,0,1,153.4625,Southampton,Mrs,Steuerbord,C,125
274,270,yes,1,female,35,0,0,135.6333,Southampton,Ms,Steuerbord,C,99
275,271,no,1,male,30,0,0,31,Southampton,Mr,NA,NA,NA
276,272,yes,3,male,25,0,0,0,Southampton,Mr,NA,NA,NA
277,273,yes,2,female,41,0,1,19.5,Southampton,Mrs,NA,NA,NA
278,274,no,1,male,37,0,1,29.7,Cherbourg,Mr,Backbord,C,118
279,275,yes,3,female,22,0,0,7.75,Queenstown,Ms,NA,NA,NA
280,276,yes,1,female,63,1,0,77.9583,Southampton,Ms,Steuerbord,D,7
281,277,no,3,female,45,0,0,7.75,Southampton,Ms,NA,NA,NA
282,278,no,2,male,30,0,0,0,Southampton,Mr,NA,NA,NA
283,279,no,3,male,7,4,1,29.125,Queenstown,Master,NA,NA,NA
284,280,yes,3,female,35,1,1,20.25,Southampton,Mrs,NA,NA,NA
285,281,no,3,male,65,0,0,7.75,Queenstown,Mr,NA,NA,NA
286,282,no,3,male,28,0,0,7.8542,Southampton,Mr,NA,NA,NA
287,283,no,3,male,16,0,0,9.5,Southampton,Mr,NA,NA,NA
288,284,yes,3,male,19,0,0,8.05,Southampton,Mr,NA,NA,NA
289,285,no,1,male,30,0,0,26,Southampton,Mr,Steuerbord,A,19
290,286,no,3,male,33,0,0,8.6625,Cherbourg,Mr,NA,NA,NA
291,287,yes,3,male,30,0,0,9.5,Southampton,Mr,NA,NA,NA
292,288,no,3,male,22,0,0,7.8958,Southampton,Mr,NA,NA,NA
293,289,yes,2,male,42,0,0,13,Southampton,Mr,NA,NA,NA
294,290,yes,3,female,22,0,0,7.75,Queenstown,Ms,NA,NA,NA
295,291,yes,1,female,26,0,0,78.85,Southampton,Ms,NA,NA,NA
296,292,yes,1,female,19,1,0,91.0792,Cherbourg,Mrs,Steuerbord,B,49
297,293,no,2,male,36,0,0,12.875,Cherbourg,Mr,,,
298,294,no,3,female,24,0,0,8.85,Southampton,Ms,NA,NA,NA
299,295,no,3,male,24,0,0,7.8958,Southampton,Mr,NA,NA,NA
300,296,no,1,male,30,0,0,27.7208,Cherbourg,Mr,NA,NA,NA
301,297,no,3,male,23.5,0,0,7.2292,Cherbourg,Mr,NA,NA,NA
302,298,no,1,female,2,1,2,151.55,Southampton,Ms,Backbord,C,22
303,26,,NA,,NA,NA,NA,NA,,,,,
304,299,yes,1,male,30,0,0,30.5,Southampton,Mr,Backbord,C,106
